S0,S1,S2,S3,Y
58857,243576,88328,125114,0
58801,243284,88474,125319,0
58777,243196,88380,125197,0
58755,243135,88341,125154,0
58818,243385,88327,125104,0
58816,243391,88408,125226,0
58801,243343,88409,125241,0
58819,243369,88426,125226,0
58832,243415,88394,125227,0
58828,243416,88431,125227,0
58817,243411,88422,125242,0
58818,243403,88415,125238,0
58851,243543,88425,125235,0
58821,243412,88457,125293,0
58822,243413,88423,125246,0
58794,243256,88429,125254,0
58835,243429,88360,125184,0
58799,243304,88433,125247,0
58793,243346,88374,125207,0
58797,243345,88393,125225,0
58834,243371,88401,125237,0
58815,243379,88391,125229,0
58816,243389,88404,125232,0
58809,243345,88411,125232,0
58815,243378,88404,125201,0
58802,243354,88398,125246,0
58817,243392,88402,125226,0
58812,243377,88416,125234,0
58813,243372,88408,125233,0
58789,243304,88401,125238,0
58815,243347,88387,125203,0
58813,243397,88399,125228,0
58815,243369,88400,125233,0
58806,243331,88400,125238,0
58816,243380,88400,125223,0
58802,243335,88402,125230,0
58811,243346,88397,125238,0
58812,243360,88396,125226,0
58811,243362,88404,125230,0
58804,243315,88409,125231,0
58820,243410,88392,125228,0
58830,243435,88431,125248,0
58798,243302,88435,125243,0
58838,243464,88391,125190,0
58817,243416,88439,125277,0
58828,243436,88412,125253,0
58832,243432,88442,125256,0
58827,243442,88420,125253,0
58837,243438,88425,125259,0
58821,243447,88439,125279,0
58829,243442,88440,125271,0
58828,243466,88429,125265,0
58831,243464,88431,125261,0
58840,243448,88443,125262,0
58835,243390,88442,125256,0
58836,243433,88406,125244,0
58829,243447,88426,125262,0
58824,243466,88425,125271,0
58823,243422,88449,125258,0
58837,243471,88420,125253,0
58829,243438,88445,125276,0
58836,243435,88418,125264,0
58826,243447,88447,125244,0
58843,243458,88450,125267,0
58847,243481,88444,125265,0
58841,243452,88450,125281,0
58843,243462,88432,125284,0
58843,243442,88453,125269,0
58836,243478,88449,125268,0
58836,243426,88455,125283,0
58832,243476,88449,125277,0
58846,243455,88448,125274,0
58836,243452,88440,125271,0
58829,243465,88449,125265,0
58839,243438,88443,125275,0
58833,243463,88449,125262,0
58841,243451,88436,125264,0
58844,243424,88434,125268,0
58850,243462,88427,125268,0
58848,243446,88453,125286,0
58828,243464,88426,125270,0
58839,243456,88454,125268,0
58856,243444,88434,125283,0
58842,243452,88442,125278,0
58835,243474,88446,125267,0
58844,243460,88456,125273,0
58834,243446,88429,125268,0
58849,243469,88446,125268,0
58836,243463,88454,125262,0
58828,243451,88428,125282,0
58844,243475,88434,125265,0
58837,243443,88442,125280,0
58849,243470,88444,125276,0
58834,243467,88450,125296,0
58840,243455,88456,125284,0
58831,243467,88454,125275,0
58844,243460,88447,125289,0
58834,243463,88458,125271,0
58832,243470,88454,125273,0
58833,243469,88452,125266,0
58832,243480,88450,125273,0
58845,243463,88450,125294,0
58843,243456,88455,125286,0
58836,243481,88445,125276,0
58847,243461,88451,125280,0
58834,243476,88442,125274,0
58832,243456,88452,125299,0
58841,243477,88465,125278,0
58832,243452,88449,125271,0
58830,243487,88451,125278,0
58838,243464,88468,125280,0
58840,243479,88450,125285,0
58847,243476,88450,125288,0
58839,243451,88450,125286,0
58845,243470,88455,125266,0
58851,243459,88454,125305,0
58836,243490,88450,125284,0
58834,243473,88445,125284,0
58843,243460,88460,125265,0
58835,243470,88449,125291,0
58851,243479,88457,125293,0
58835,243483,88459,125284,0
58840,243457,88461,125292,0
58845,243480,88452,125278,0
58843,243478,88461,125290,0
58838,243467,88446,125290,0
58850,243489,88449,125272,0
58844,243481,88450,125289,0
58842,243456,88467,125294,0
58848,243485,88448,125290,0
58857,243490,88454,125295,0
58840,243467,88451,125287,0
58847,243470,88448,125288,0
58847,243490,88456,125280,0
58834,243475,88465,125301,0
58841,243483,88447,125268,0
58850,243478,88459,125278,0
58839,243455,88455,125271,0
58842,243509,88447,125281,0
58834,243482,88459,125292,0
58851,243492,88465,125281,0
58851,243477,88467,125306,0
58850,243491,88444,125300,0
