,S1-value2,S1-value3,S1-value4,S2-value2,S2-value3,S2-value4,S3-value2,S3-value3,S3-value4,S0-value2,S0-value3,S0-value4,Y
324,41776.0,40985.0,19989.0,44756.0,40987.0,18391.0,9106.0,40979.0,36385.0,6420.0,12.0,37712.0,1
325,41806.0,40986.0,19973.0,44704.0,40988.0,18418.0,9089.0,40980.0,36394.0,6397.0,13.0,37724.0,1
326,41786.0,40986.0,19984.0,44591.0,40990.0,18473.0,9047.0,40981.0,36418.0,6407.0,13.0,37719.0,1
327,41736.0,40984.0,20011.0,44613.0,40984.0,18461.0,9062.0,40982.0,36409.0,6401.0,17.0,37722.0,1
328,41638.0,40988.0,20057.0,44448.0,40985.0,18548.0,8995.0,40978.0,36443.0,6400.0,11.0,37723.0,1
329,41651.0,40987.0,20052.0,44439.0,40985.0,18550.0,9009.0,40982.0,36434.0,6381.0,15.0,37734.0,1
330,41485.0,40984.0,20136.0,44499.0,40985.0,18520.0,9033.0,40976.0,36425.0,6384.0,15.0,37728.0,1
331,41484.0,40984.0,20134.0,44605.0,40986.0,18467.0,9081.0,40976.0,36400.0,6342.0,15.0,37752.0,1
332,41537.0,40985.0,20110.0,45234.0,40987.0,18151.0,9366.0,40982.0,36258.0,6349.0,14.0,37749.0,1
333,41640.0,40985.0,20057.0,46467.0,40990.0,17536.0,9939.0,40981.0,35970.0,6355.0,16.0,37745.0,1
334,42253.0,40984.0,19748.0,47053.0,40988.0,17246.0,10197.0,40980.0,35842.0,6386.0,15.0,37731.0,1
335,43459.0,40985.0,19143.0,47003.0,40987.0,17269.0,10194.0,40978.0,35842.0,6536.0,14.0,37654.0,1
336,44025.0,40983.0,18853.0,46979.0,40988.0,17282.0,10193.0,40981.0,35842.0,6845.0,15.0,37498.0,1
337,43985.0,40986.0,18876.0,46537.0,40989.0,17501.0,9997.0,40976.0,35942.0,7006.0,16.0,37420.0,1
338,43969.0,40985.0,18885.0,46447.0,40985.0,17546.0,9966.0,40982.0,35957.0,6999.0,12.0,37422.0,1
339,43536.0,40985.0,19104.0,46426.0,40986.0,17557.0,9956.0,40981.0,35962.0,6991.0,15.0,37426.0,1
340,43444.0,40984.0,19148.0,46372.0,40987.0,17584.0,9932.0,40977.0,35971.0,6885.0,16.0,37478.0,1
341,43427.0,40986.0,19155.0,46288.0,40988.0,17628.0,9903.0,40977.0,35986.0,6856.0,13.0,37493.0,1
342,43366.0,40984.0,19187.0,46202.0,40988.0,17668.0,9867.0,40982.0,36006.0,6856.0,12.0,37493.0,1
343,43300.0,40985.0,19220.0,45916.0,40984.0,17812.0,9738.0,40978.0,36072.0,6841.0,13.0,37501.0,1
344,43206.0,40983.0,19269.0,45919.0,40988.0,17807.0,9740.0,40976.0,36069.0,6826.0,17.0,37506.0,1
345,42931.0,40985.0,19410.0,45783.0,40984.0,17876.0,9679.0,40979.0,36099.0,6800.0,12.0,37520.0,1
346,42930.0,40987.0,19408.0,45803.0,40986.0,17865.0,9681.0,40977.0,36097.0,6727.0,14.0,37558.0,1
347,42808.0,40990.0,19469.0,45790.0,40983.0,17875.0,9679.0,40979.0,36101.0,6725.0,13.0,37559.0,1
348,42820.0,40984.0,19462.0,22712.0,40967.0,31593.0,21364.0,40985.0,30250.0,6699.0,15.0,37572.0,1
349,42804.0,40986.0,19471.0,23068.0,40966.0,31401.0,21421.0,40984.0,30222.0,6702.0,15.0,37569.0,1
350,27762.0,40965.0,28257.0,22863.0,40965.0,31514.0,21498.0,40983.0,30185.0,6700.0,14.0,37571.0,1
351,27488.0,40966.0,28183.0,22932.0,40967.0,31479.0,21533.0,40981.0,30168.0,14574.0,18.0,33600.0,1
352,27446.0,40966.0,28205.0,22702.0,40966.0,31598.0,21572.0,40983.0,30149.0,14607.0,18.0,33588.0,1
353,27570.0,40964.0,28141.0,22033.0,40965.0,31951.0,21665.0,40981.0,30100.0,14579.0,17.0,33601.0,1
354,27487.0,40966.0,28181.0,22810.0,40964.0,31543.0,21681.0,40984.0,30093.0,14568.0,15.0,33607.0,1
355,27009.0,40969.0,28440.0,24785.0,40967.0,30491.0,21629.0,40983.0,30122.0,14584.0,11.0,33598.0,1
356,27597.0,40964.0,28129.0,26036.0,40966.0,29822.0,21608.0,40982.0,30129.0,14617.0,14.0,33580.0,1
357,28895.0,40967.0,27430.0,23862.0,40967.0,30974.0,21722.0,40983.0,30072.0,14533.0,15.0,33623.0,1
358,29787.0,40968.0,26952.0,24973.0,40966.0,30396.0,21726.0,40981.0,30073.0,14335.0,17.0,33723.0,1
359,28335.0,40970.0,27728.0,24648.0,40965.0,30560.0,21751.0,40982.0,30060.0,14192.0,15.0,33797.0,1
360,29027.0,40967.0,27360.0,24127.0,40967.0,30841.0,21788.0,40982.0,30041.0,14367.0,16.0,33709.0,1
361,28817.0,40963.0,27476.0,22721.0,40966.0,31585.0,21870.0,40982.0,29997.0,14245.0,12.0,33768.0,1
362,28471.0,40967.0,27656.0,22819.0,40966.0,31534.0,21841.0,40983.0,30011.0,14276.0,13.0,33753.0,1
363,27508.0,40970.0,28175.0,23240.0,40967.0,31311.0,21834.0,40984.0,30019.0,14308.0,16.0,33738.0,1
364,27620.0,40967.0,28121.0,24090.0,40966.0,30863.0,21782.0,40980.0,30046.0,14425.0,14.0,33678.0,1
365,27880.0,40966.0,27978.0,24941.0,40967.0,30404.0,21731.0,40979.0,30067.0,14429.0,15.0,33676.0,1
366,28499.0,40967.0,27644.0,26653.0,40966.0,29489.0,21627.0,40982.0,30124.0,14362.0,16.0,33710.0,1
367,29081.0,40965.0,27335.0,24219.0,40967.0,30790.0,21742.0,40983.0,30064.0,14289.0,13.0,33748.0,1
368,30364.0,40966.0,26638.0,21249.0,40965.0,32358.0,21887.0,40980.0,29992.0,14186.0,17.0,33800.0,1
369,28725.0,40966.0,27524.0,21794.0,40964.0,32071.0,21872.0,40981.0,29997.0,14013.0,16.0,33887.0,1
370,26648.0,40964.0,28632.0,24271.0,40966.0,30762.0,21742.0,40983.0,30066.0,14264.0,16.0,33759.0,1
371,27048.0,40970.0,28424.0,24808.0,40966.0,30484.0,21709.0,40980.0,30079.0,14565.0,16.0,33609.0,1
372,28751.0,40965.0,27511.0,23703.0,40965.0,31069.0,21813.0,40983.0,30028.0,14508.0,17.0,33635.0,1
373,29172.0,40965.0,27284.0,22217.0,40967.0,31851.0,21918.0,40982.0,29976.0,14261.0,15.0,33762.0,1
374,28274.0,40967.0,27767.0,20848.0,40966.0,32557.0,22019.0,40980.0,29923.0,14197.0,16.0,33794.0,1
375,27228.0,40966.0,28321.0,25490.0,40984.0,28077.0,3805.0,40981.0,39042.0,14269.0,14.0,33757.0,1
376,26227.0,40969.0,28851.0,25995.0,40979.0,27837.0,3882.0,40978.0,39000.0,14404.0,17.0,33690.0,1
377,25506.0,40965.0,29242.0,26227.0,40980.0,27719.0,4012.0,40981.0,38936.0,14526.0,17.0,33625.0,1
378,22037.0,40986.0,29869.0,26359.0,40983.0,27653.0,4077.0,40977.0,38903.0,14641.0,18.0,33568.0,1
