S0,S1,S2,S3,Y
241459,125233,327660,32564,0
241524,125222,327660,32561,0
241490,125258,327660,32574,0
241585,125247,327660,32547,0
241482,125289,327660,32567,0
241503,125235,327660,32564,0
241495,125248,327660,32567,0
241547,125249,327660,32558,0
241481,125275,327660,32573,0
241404,125235,327660,32574,0
242212,125177,327660,32538,0
241079,125567,327660,32657,0
241615,125068,327660,32507,0
241316,125312,327660,32577,0
241730,125170,327660,32535,0
241089,125372,327660,32601,0
241746,125082,327660,32519,0
241317,125361,327660,32600,0
241421,125189,327660,32536,0
241495,125240,327660,32557,0
241440,125253,327660,32566,0
241482,125227,327660,32560,0
241435,125252,327660,32563,0
241494,125229,327660,32559,0
241456,125260,327660,32557,0
241477,125235,327660,32562,0
241503,125242,327660,32560,0
241420,125263,327660,32555,0
241479,125226,327660,32551,0
241490,125246,327660,32553,0
241459,125252,327660,32567,0
241466,125256,327660,32564,0
241465,125248,327660,32558,0
241460,125239,327660,32562,0
241474,125244,327660,32555,0
241471,125268,327660,32565,0
239612,125257,327660,32343,0
240108,124833,327660,32408,0
239503,125036,327660,32323,0
239657,124756,327660,32347,0
239828,124819,327660,32366,0
239932,124903,327660,32388,0
239790,124941,327660,32361,0
239796,124877,327660,32356,0
239798,124874,327660,32381,0
239790,124866,327660,32369,0
240151,124844,327660,32411,0
239481,125010,327660,32323,0
239945,124687,327660,32383,0
240212,124887,327660,32412,0
239910,124986,327660,32374,0
240057,124853,327660,32402,0
239997,124919,327660,32395,0
239935,124900,327660,32368,0
240015,124859,327660,32387,0
239832,124895,327660,32364,0
240005,124810,327660,32378,0
239904,124888,327660,32362,0
240037,124830,327660,32390,0
239964,124880,327660,32375,0
239989,124868,327660,32383,0
239985,124842,327660,32392,0
240052,124871,327660,32392,0
240084,124897,327660,32395,0
239722,124944,327660,32350,0
239885,124755,327660,32373,0
239822,124836,327660,32366,0
239830,124794,327660,32360,0
239869,124796,327660,32359,0
239699,124823,327660,32342,0
239596,124772,327660,32338,0
239704,124704,327660,32348,0
239969,124739,327660,32375,0
239886,124858,327660,32368,0
239789,124818,327660,32366,0
239734,124781,327660,32344,0
239861,124758,327660,32375,0
240153,124777,327660,32414,0
239740,124918,327660,32360,0
239973,124734,327660,32378,0
239945,124838,327660,32372,0
239929,124810,327660,32373,0
239879,124829,327660,32375,0
239963,124789,327660,32384,0
239947,124831,327660,32365,0
240146,124830,327660,32397,0
239542,124920,327660,32324,0
240195,124639,327660,32408,0
239911,124921,327660,32383,0
240026,124796,327660,32385,0
239977,124861,327660,32368,0
239956,124824,327660,32370,0
239984,124827,327660,32377,0
239939,124835,327660,32373,0
239937,124816,327660,32363,0
239923,124791,327660,32377,0
240143,124794,327660,32389,0
239742,124882,327660,32350,0
239944,124714,327660,32367,0
240058,124807,327660,32394,0
239835,124862,327660,32359,0
239916,124764,327660,32380,0
240013,124801,327660,32381,0
240088,124841,327660,32389,0
240235,124875,327660,32430,0
240253,124944,327660,32411,0
240068,124958,327660,32391,0
240104,124875,327660,32399,0
239985,124879,327660,32369,0
239952,124834,327660,32382,0
239814,124821,327660,32361,0
240027,124763,327660,32387,0
240066,124846,327660,32398,0
240072,124869,327660,32372,0
239960,124868,327660,32391,0
240024,124806,327660,32379,0
239983,124844,327660,32370,0
239964,124819,327660,32364,0
240016,124806,327660,32385,0
239986,124840,327660,32384,0
240005,124814,327660,32382,0
239966,124830,327660,32385,0
239989,124827,327660,32377,0
239976,124830,327660,32369,0
239488,124825,327660,32307,0
239990,124597,327660,32381,0
239895,124819,327660,32361,0
240015,124788,327660,32382,0
239858,124852,327660,32366,0
240012,124785,327660,32384,0
240013,124849,327660,32383,0
239929,124854,327660,32378,0
240076,124823,327660,32378,0
239989,124856,327660,32390,0
239960,124826,327660,32377,0
239961,124822,327660,32380,0
240094,124815,327660,32404,0
239950,124878,327660,32381,0
239933,124818,327660,32364,0
239984,124821,327660,32377,0
239956,124797,327660,32378,0
239962,124821,327660,32380,0
239982,124820,327660,32383,0
240006,124827,327660,32382,0
240035,124834,327660,32375,0
239956,124853,327660,32372,0
239957,124808,327660,32387,0
240155,124816,327660,32392,0
240015,124885,327660,32385,0
240016,124852,327660,32383,0
239988,124849,327660,32395,0
239984,124817,327660,32376,0
240010,124829,327660,32382,0
240001,124844,327660,32385,0
240049,124844,327660,32391,0
239970,124856,327660,32396,0
239933,124817,327660,32387,0
240019,124813,327660,32376,0
240041,124853,327660,32394,0
240026,124840,327660,32387,0
239991,124848,327660,32377,0
240016,124827,327660,32384,0
240115,124849,327660,32398,0
239984,124879,327660,32368,0
239920,124810,327660,32372,0
240032,124794,327660,32387,0
239870,124850,327660,32365,0
