S2-value2,S2-value3,S2-value4,S3-value2,S3-value3,S3-value4,S1-value2,S1-value3,S1-value4,Y
23447.0,40982.0,29116.0,13064.0,40980.0,34403.0,40812.0,73760.0,53212.0,0
23436.0,40980.0,29120.0,13000.0,40976.0,34438.0,40920.0,73768.0,53157.0,0
23386.0,40979.0,29144.0,12755.0,40976.0,34559.0,40880.0,73765.0,53181.0,0
23517.0,40981.0,29079.0,12647.0,40980.0,34614.0,40772.0,73761.0,53231.0,0
23582.0,40982.0,29048.0,5015.0,24586.0,22055.0,40267.0,73768.0,53486.0,0
23610.0,40981.0,29034.0,4994.0,24589.0,22067.0,40432.0,73763.0,53399.0,0
23724.0,40977.0,28978.0,4988.0,24586.0,22068.0,40245.0,73761.0,53496.0,0
23675.0,40980.0,28997.0,4962.0,24583.0,22084.0,39789.0,73764.0,53724.0,0
23719.0,40978.0,28978.0,5005.0,24586.0,22061.0,39342.0,73763.0,53950.0,0
23616.0,40980.0,29031.0,4992.0,24585.0,22067.0,39381.0,73763.0,53929.0,0
23373.0,40982.0,29149.0,5032.0,24584.0,22048.0,41951.0,73757.0,52635.0,0
23453.0,40977.0,29113.0,4975.0,24586.0,22075.0,64998.0,73768.0,41055.0,0
23416.0,40983.0,29129.0,4980.0,24584.0,22074.0,16299.0,73756.0,65662.0,0
23172.0,40983.0,29254.0,4967.0,24588.0,22077.0,23668.0,40982.0,29068.0,0
22875.0,40978.0,29405.0,4864.0,24586.0,22130.0,24470.0,40981.0,28666.0,0
23036.0,40982.0,29323.0,4799.0,24588.0,22164.0,25219.0,40984.0,28287.0,0
23079.0,40980.0,29302.0,4798.0,24587.0,22166.0,25255.0,40982.0,28271.0,0
37095.0,40985.0,22225.0,4715.0,24586.0,22208.0,25672.0,40984.0,28060.0,0
1701.0,40981.0,40083.0,4600.0,24587.0,22263.0,25290.0,40979.0,28251.0,0
24040.0,40983.0,28815.0,4551.0,24586.0,22289.0,24672.0,40980.0,28564.0,0
24768.0,40984.0,28446.0,4422.0,24585.0,22351.0,24342.0,40979.0,28728.0,0
25521.0,40981.0,28068.0,4522.0,24586.0,22304.0,24206.0,40978.0,28797.0,0
25502.0,40981.0,28080.0,4522.0,24586.0,22302.0,24460.0,40980.0,28669.0,0
25906.0,40983.0,27873.0,6540.0,24586.0,21292.0,24521.0,40979.0,28637.0,0
25498.0,40981.0,28079.0,12494.0,24587.0,18313.0,24785.0,40984.0,28507.0,0
24827.0,40981.0,28420.0,179.0,24590.0,24479.0,24693.0,40980.0,28552.0,0
24481.0,40981.0,28593.0,139.0,24589.0,24499.0,24010.0,40985.0,28897.0,0
24361.0,40982.0,28656.0,7467.0,40978.0,37206.0,23694.0,40981.0,29056.0,0
24621.0,40984.0,28522.0,8069.0,40980.0,36906.0,23568.0,40982.0,29117.0,0
24682.0,40982.0,28491.0,8597.0,40978.0,36640.0,23472.0,40980.0,29164.0,0
24955.0,40982.0,28353.0,8621.0,40977.0,36630.0,23507.0,40980.0,29147.0,0
24878.0,40983.0,28393.0,8839.0,40979.0,36520.0,23936.0,40981.0,28933.0,0
24131.0,40982.0,28769.0,8612.0,40980.0,36631.0,23903.0,40980.0,28947.0,0
23804.0,40982.0,28936.0,8265.0,40980.0,36805.0,24127.0,40977.0,28835.0,0
23650.0,40983.0,29012.0,7978.0,40978.0,36950.0,24059.0,40977.0,28871.0,0
23552.0,40983.0,29062.0,7935.0,40977.0,36973.0,23821.0,40981.0,28991.0,0
23628.0,40985.0,29024.0,8086.0,40978.0,36895.0,23482.0,40979.0,29163.0,0
24045.0,40982.0,28814.0,8096.0,40978.0,36891.0,23494.0,40979.0,29153.0,0
24027.0,40984.0,28822.0,8201.0,40979.0,36838.0,23744.0,40977.0,29027.0,0
24265.0,40983.0,28702.0,8091.0,40979.0,36892.0,67557.0,73770.0,39768.0,0
24187.0,40982.0,28741.0,7723.0,40977.0,37077.0,67736.0,73769.0,39679.0,0
23957.0,40981.0,28857.0,7543.0,40979.0,37167.0,68897.0,73766.0,39090.0,0
23563.0,40981.0,29058.0,7511.0,40980.0,37182.0,68994.0,73768.0,39040.0,0
23581.0,40984.0,29050.0,7463.0,40977.0,37208.0,69154.0,73769.0,38964.0,0
23855.0,40980.0,28908.0,7469.0,40976.0,37206.0,69025.0,73767.0,39028.0,0
41508.0,40982.0,20003.0,7746.0,40978.0,37069.0,69043.0,73776.0,39021.0,0
41455.0,40984.0,20028.0,7690.0,40977.0,37096.0,68893.0,73772.0,39096.0,0
